날짜,닉네임,내용
2024-09-20,건조생활,이사 온 집이 1층이라 습기가 많았는데 LG 제습기 덕분에 해결됐어요. 곰팡이 냄새도 없어지고 벽지에 물방울도 안 맺혀요. 정말 효과적이에요.
2024-09-20,물제거기,좋아요
2024-09-20,습도체커,별로였어요
2024-09-21,제습솔루션,필터 교체 주기가 길어서 유지비용이 적게 들어요. 6개월에 한 번 정도 교체하면 되고 필터값도 저렴해서 부담이 없어요. 전체적으로 경제적입니다.
2024-09-21,건조시설,만족해요
2024-09-21,습기없애기,괜찮네요
2024-09-22,깨끗한습도,4달 사용 후기입니다. 처음에는 소음이 걱정됐는데 실제로는 거의 들리지 않아요. 밤에도 안심하고 사용할 수 있고 습도 조절 효과도 지속적으로 만족스럽습니다.
2024-09-22,물빼는사람,좋네요
2024-09-22,제습기능,추천합니다
2024-09-23,습도관리,바퀴가 달려있어서 방마다 이동하면서 사용하기 편해요. 무게도 적당해서 여자 혼자서도 쉽게 옮길 수 있어요. 디자인도 깔끔해서 어디 두어도 이쁘네요.
2024-09-23,건조효율,만족
2024-09-23,깨끗이살기,좋아요
2024-09-24,제습전문가,LG 제습기 사용하면서 가장 좋은 점은 자동 습도 조절이에요. 설정만 해놓으면 알아서 습도를 맞춰주니까 신경 쓸 필요가 없어서 편리합니다.
2024-09-24,습기제거왕,별로네요
2024-09-24,물통관리,괜찮아요
2024-09-25,건조한공간,5달째 사용 중인데 여전히 만족스러워요. 특히 장마철에 진가를 발휘했고 빨래 건조에도 큰 도움이 됐어요. 투자 가치가 충분한 제품이라고 생각해요.
2024-09-25,습도낮추는기계,좋습니다
2024-09-25,제습효율,추천해요
2024-09-26,깨끗한환경,물받이 용량이 커서 자주 비우지 않아도 돼서 편해요. 하지만 물받이가 꽉 찼을 때 무게가 좀 나가서 조심해서 들어야 해요. 전체적으로는 만족스럽습니다.
2024-09-26,습기싹,만족
2024-09-26,건조모드온,좋네요
2024-09-27,제습생활,에너지 효율이 좋아서 전기료 걱정 없이 사용하고 있어요. 하루 종일 켜놔도 한 달 전기료가 많이 나오지 않아서 경제적이에요. 습도 조절 효과도 만족스럽고요.
2024-09-27,물배출,괜찮음
2024-09-27,습도제로만들기,별로였어요
2024-09-28,깨끗한실내,반년 사용 후기예요. LG 제품이라 그런지 고장 없이 안정적으로 작동하고 있어요. A/S 받을 일도 없었고 성능도 처음과 동일하게 유지되고 있어서 만족합니다.
2024-09-28,건조시키기,좋아요
2024-09-28,제습마니아,추천
2024-09-29,습기없는생활,마지막 후기입니다. 정말 좋은 제품이에요. 습도 조절 효과도 확실하고 소음도 적고 디자인도 깔끔해서 전체적으로 매우 만족스럽습니다. 추천해드려요!
2024-09-29,물받이비우기,만족해요
2024-09-01,집지킴이,효과 있어요
2024-09-01,습도킬러2,LG 제습기 정말 조용해요. 밤에 틀어놔도 잠자는데 전혀 방해 안 되고 자동으로 습도 맞춰주니까 너무 편리합니다. 집안 공기도 훨씬 상쾌해졌어요.
2024-09-02,건조마스터,좋아요
2024-09-02,물제거전문가,빨래 건조에 도움 많이 돼요. 특히 비 오는 날에 실내에서 빨래 말릴 때 정말 유용해요. 습도도 낮춰주고 빨래도 빨리 마르고 일석이조네요.
2024-09-03,깨끗한하루,만족스러워요
2024-09-03,제습효과좋음,별로에요
2024-09-04,습기제거기계,6개월 사용했는데 필터 청소도 쉽고 관리가 편해요. 물받이도 투명해서 물이 얼마나 찼는지 한눈에 보이고 좋아요. 전체적으로 사용자 친화적입니다.
2024-09-04,건조한집,추천해요
2024-09-05,습도조절전문,괜찮네요
2024-09-05,물빼는도구,LG 제습기 크기가 적당해서 좋아요. 너무 크지도 않고 작지도 않아서 어느 방에 두어도 공간을 크게 차지하지 않으면서도 효과는 확실해요.
2024-09-06,깨끗이하기,좋습니다
2024-09-06,제습기왕,만족
2024-09-07,습기없애는기계,타이머 기능이 정말 유용해요. 외출 전에 타이머 맞춰놓고 나가면 집에 올 때쯤 딱 좋은 습도가 되어 있어요. 스마트한 기능이 많아서 만족스럽습니다.
2024-09-07,건조환경만들기,좋네요
2024-09-08,물통비우는사람,별로였음
2024-09-08,습도낮추는사람,9개월 사용 후기예요. 여름 내내 잘 사용했고 전력소모도 생각보다 적어서 경제적이에요. LG 브랜드라서 믿음이 가고 품질도 확실해서 만족해요.
2024-09-09,깨끗한공기만들기,추천합니다
2024-09-09,제습솔루션마스터,괜찮아요
2024-09-10,습기싫어하는사람,물받이에 손잡이가 있어서 들고 다니기 편해요. 무게가 좀 나가긴 하지만 손잡이 덕분에 안전하게 들 수 있어서 좋아요. 실용적인 디자인이에요.
2024-09-10,건조생활만들기,좋아요
2024-09-11,습도제어장치,만족해요
2024-09-11,물제거솔루션,1년 사용 후기입니다. 고장 없이 안정적으로 작동하고 있어요. 습도 센서도 정확하고 설정한 습도를 잘 유지해줘서 신뢰할 수 있는 제품이에요.
2024-09-12,깨끗한습도만들기,좋네요
2024-09-12,제습마스터프로,별로네요
2024-09-13,습기배출장치,바퀴가 부드럽게 굴러가서 바닥에 스크래치 걱정 없이 이동시킬 수 있어요. 카펫 위에서도 잘 굴러가고 문턱도 쉽게 넘어가서 편리합니다.
2024-09-13,건조시스템구축,추천해요
2024-09-14,물빼기전문가,괜찮음
2024-09-14,습도관리시스템,LED 디스플레이가 밝아서 현재 습도를 쉽게 확인할 수 있어요. 설정 습도와 현재 습도가 동시에 표시되어서 한눈에 상황을 파악할 수 있어서 좋습니다.
2024-09-15,깨끗한환경만들기,만족스러움
2024-09-15,제습효율극대화,좋아요
2024-09-16,습기제거완벽,에어컨과 함께 사용하면 효과가 더 좋아요. 에어컨으로 온도 낮추고 제습기로 습도 낮추니까 정말 쾌적한 환경이 만들어져요. 조합이 환상적입니다.
2024-09-16,건조환경완성,별로였어요
2024-09-17,물통관리전문가,추천
2024-09-17,습도낮추기프로,필터가 항균 필터라서 공기 정화 효과도 있어요. 습도만 낮추는 게 아니라 공기도 깨끗하게 해줘서 일석이조예요. 특히 알레르기 있는 사람에게 좋을 것 같아요.
2024-09-18,깨끗이만들기,좋습니다
2024-09-18,제습전문가프로,만족해요
2024-09-19,습기없는환경,물받이 교체할 때 물이 새지 않게 설계되어 있어서 좋아요. 조심스럽게 들지 않아도 되고 바닥에 물이 떨어질 걱정이 없어서 안심하고 사용할 수 있어요.
2024-09-19,건조완벽,괜찮네요
2024-09-20,물제거완벽,별로에요
2024-09-20,습도제로화,리모컨이 있었으면 더 좋았을 텐데 아쉬워요. 그래도 조작 버튼이 크고 직관적이어서 사용하기 어렵지 않아요. 전체적으로는 만족스러운 제품입니다.
2024-09-21,깨끗한공간완성,좋아요
2024-09-21,제습솔루션완성,추천해요
2024-09-22,습기배출완료,소음 측정해봤는데 정말 조용해요. 40dB 정도로 도서관 수준이에요. 밤에 잠잘 때도 전혀 방해되지 않고 낮에도 TV 보는데 문제없어서 만족스럽습니다.
2024-09-22,건조시스템완성,만족
2024-09-23,물빼기완료,괜찮아요
2024-09-23,습도관리완료,겨울철에도 사용할 예정이에요. 여름에만 쓰는 줄 알았는데 겨울에 빨래 말릴 때도 유용할 것 같아요. 사계절 내내 활용도가 높은 제품인 것 같습니다.
2024-09-24,깨끗한실내완성,좋네요
2024-09-24,제습마스터완성,별로였음
2024-09-25,습기제거마스터,배송도 빠르고 포장도 꼼꼼했어요. 제품에 흠집 하나 없이 깨끗하게 왔고 설명서도 이해하기 쉽게 잘 되어 있어서 설치하기 편했습니다.
2024-09-25,건조환경마스터,추천합니다
2024-09-26,물통비우기마스터,만족스러워요
2024-09-26,습도낮추기마스터,전체적으로 디자인이 모던해서 인테리어에 잘 어울려요. 흰색 색상이 깔끔하고 모서리 처리도 부드러워서 안전하고 시각적으로도 만족스럽습니다.
2024-09-27,깨끗한공기마스터,좋아요
2024-09-27,제습효과마스터,괜찮네요
2024-09-28,습기없는생활마스터,가격 대비 성능이 훌륭해요. 비슷한 용량의 다른 브랜드 제품들과 비교해봤는데 LG가 가장 가성비가 좋은 것 같아요. 기능도 많고 품질도 좋아서 만족합니다.
2024-09-28,건조생활마스터,별로네요
2024-09-29,물제거생활마스터,추천
2024-09-29,습도조절생활마스터,최종 결론은 정말 좋은 제품이라는 거예요. 습도 조절 효과 확실하고 소음 적고 디자인 좋고 사용 편리해서 모든 면에서 만족스럽습니다. 강력 추천해요!
2024-09-01,제습왕초보,처음 써보는데 좋네요
2024-09-02,습기방지,만족
2024-09-03,건조기대,별로에요
2024-09-04,물받이청소,꽤 괜찮아요
2024-09-05,습도체크인,효과 있어요. 집안이 확실히 덜 습해졌고 곰팡이 냄새도 많이 줄었어요. 특히 옷장 근처에 두니까 옷에서 나던 눅눅한 냄새가 사라져서 좋아요.
2024-09-06,깨끗함유지,좋습니다
2024-09-07,제습기능테스트,추천해요
2024-09-08,습기제거테스트,물 나오는 양이 생각보다 많아서 놀랐어요. 하루에 2-3리터씩 나오는데 우리 집에 이렇게 습기가 많았나 싶네요. 확실히 효과가 있는 것 같아요.
2024-09-09,건조테스트,만족스러움
2024-09-10,물빼기테스트,괜찮네요
2024-09-11,습도낮추기테스트,소음이 정말 적어요. 에어컨보다도 조용해서 밤에 켜놓고 자도 전혀 거슬리지 않아요. 민감한 편인데도 잠드는데 문제없어서 만족해요.
2024-09-12,깨끗함테스트,좋아요
2024-09-13,제습솔루션테스트,별로였어요
2024-09-14,습기배출테스트,이동이 편해서 좋아요. 낮에는 거실에서 쓰고 밤에는 침실로 옮겨서 써요. 바퀴가 부드럽게 굴러가서 바닥 긁힐 걱정도 없고 편리합니다.
2024-09-15,건조시스템테스트,추천
2024-09-16,물통관리테스트,만족해요
2024-09-17,습도제어테스트,전기료가 생각보다 많이 안 나와서 좋아요. 하루 종일 켜놔도 한 달에 1-2만원 정도 나오는 것 같아서 부담 없이 사용하고 있어요.
2024-09-18,깨끗한환경테스트,좋네요
2024-09-19,제습마스터테스트,괜찮아요
2024-09-20,습기없는집테스트,필터 청소가 간단해서 좋아요. 한 달에 한 번 정도 분리해서 물로 씻어주면 되고 건조시키는 것도 금방이에요. 유지관리가 쉬워서 만족스럽습니다.
2024-09-21,건조환경테스트,별로네요
2024-09-22,물제거테스트,추천합니다
2024-09-23,습도관리테스트,빨래 건조에 정말 도움 많이 돼요. 비 오는 날에도 실내에서 빨래 말리는데 시간이 반으로 줄었어요. 습도도 조절되고 빨래도 빨리 마르고 일석이조예요.
2024-09-24,깨끗이테스트,좋아요
2024-09-25,제습효과테스트,만족
2024-09-26,습기제거완료테스트,타이머 기능이 유용해요. 8시간 타이머로 설정해놓고 외출하면 집에 올 때쯤 딱 적당한 습도가 되어 있어요. 자동으로 꺼져서 안전하기도 하고요.
2024-09-27,건조생활테스트,괜찮네요
2024-09-28,물빼기완료테스트,별로에요
2024-09-29,습도조절완료테스트,종합적으로 만족스러운 제품이에요. 가격도 합리적이고 성능도 좋고 디자인도 깔끔해서 추천하고 싶어요. LG 브랜드라서 믿을 수 있기도 하고요.
2024-09-01,실내공기개선,좋네요
2024-09-02,습도조절기능,만족해요
2024-09-03,제습성능,추천
2024-09-04,물통용량,괜찮아요
2024-09-05,건조효과확인,집안 습도가 확실히 떨어졌어요. 습도계로 재보니까 70%에서 50%로 내려갔더라고요. 피부도 덜 끈적거리고 숨쉬기도 훨씬 편해졌어요.
2024-09-06,깨끗한실내환경,좋아요
2024-09-07,습기제거성능,별로였음
2024-09-08,제습기효율성,에너지 효율이 좋아서 만족해요. 1등급 제품이라서 전력소모가 적고 그만큼 전기료 부담도 적어요. 환경에도 좋고 경제적이기도 하고 좋네요.
2024-09-09,물받이기능,만족스러움
2024-09-10,건조시설완비,추천해요
2024-09-11,습도낮추기성공,물받이가 투명해서 물이 얼마나 찼는지 한눈에 보여서 좋아요. 물이 가득 차기 전에 미리 비울 수 있어서 편리하고 넘칠 걱정도 없어요.
2024-09-12,깨끗함실현,괜찮네요
2024-09-13,제습솔루션성공,좋습니다
2024-09-14,습기배출성공,곰팡이 방지 효과가 확실해요. 예전에 옷장이나 신발장에서 나던 곰팡이 냄새가 완전히 사라졌어요. 습도가 낮아지니까 곰팡이가 번식하기 어려운 환경이 된 것 같아요.
2024-09-15,건조환경성공,별로네요
2024-09-16,물통비우기성공,만족
2024-09-17,습도제어성공,소음 수준이 정말 만족스러워요. 조용한 편이라고 해서 샀는데 실제로도 거의 들리지 않아요. 밤에 잘 때도 전혀 방해되지 않아서 좋아요.
2024-09-18,깨끗한공기성공,추천합니다
2024-09-19,제습마스터성공,좋아요
2024-09-20,습기없는환경성공,디자인이 심플하고 깔끔해서 어떤 인테리어에도 잘 어울려요. 흰색이라서 더 깔끔해 보이고 크기도 적당해서 공간을 많이 차지하지 않아서 좋네요.
2024-09-21,건조생활성공,괜찮아요
2024-09-22,물제거성공,별로였어요
2024-09-23,습도관리성공,필터 교체 주기가 길어서 경제적이에요. 6개월에 한 번 정도 교체하면 되고 필터값도 비싸지 않아서 유지비용이 적게 들어요. 관리하기 편해서 만족해요.
2024-09-24,깨끗이성공,만족해요
2024-09-25,제습효과성공,좋네요
2024-09-26,습기제거마무리,바퀴가 360도 회전해서 이동이 정말 편해요. 좁은 공간에서도 쉽게 방향을 바꿀 수 있고 문턱도 쉽게 넘어가서 어느 방이든 자유롭게 옮겨 다니면서 사용할 수 있어요.
2024-09-27,건조환경마무리,추천
2024-09-28,물빼기마무리,괜찮네요
2024-09-29,습도조절마무리,전체적으로 정말 만족스러운 제품이에요. 성능도 좋고 디자인도 좋고 사용하기도 편해서 구매 잘했다는 생각이 들어요. 주변 사람들에게도 추천하고 싶은 제품입니다.
2024-09-02,소음싫어,생각보다 소음이 커요. 조용하다고 해서 샀는데 밤에 켜놓으면 웅웅거리는 소리 때문에 잠을 못 자겠어요. 거실에서만 쓸 수 있을 것 같아요.
2024-09-03,전기료걱정,전기료가 너무 많이 나와요. 한 달 사용했는데 전기료가 5만원이나 더 나왔어요. 이럴 줄 알았으면 안 샀을 텐데 후회됩니다.
2024-09-05,물받이불편,물받이를 하루에 3-4번씩 비워야 해서 너무 번거로워요. 용량이 4리터라고 했는데 실제로는 그보다 적게 들어가는 것 같고 자주 비우느라 스트레스받아요.
2024-09-07,크기문제,크기가 생각보다 너무 커요. 원룸에서 사용하는데 공간을 너무 많이 차지해서 이동하기도 불편하고 방이 더 좁아 보여요. 컴팩트한 걸로 살걸 그랬어요.
2024-09-09,효과미비,3주 써봤는데 효과를 잘 모르겠어요. 습도가 좀 떨어지긴 했지만 기대만큼은 아니에요. 곰팡이 냄새도 여전하고 생각보다 효과가 미미해서 실망이에요.
2024-09-11,이동불편,바퀴가 있긴 한데 방향 바꾸기가 어려워요. 직진만 되고 회전이 잘 안 되서 좁은 공간에서 움직이기 힘들어요. 무게도 무거워서 계단 올리기도 힘들고요.
2024-09-13,필터청소귀찮,필터 청소가 생각보다 번거로워요. 자주 해줘야 하는데 분리하고 씻고 말리는 과정이 귀찮아서 점점 소홀해지게 되네요. 관리가 힘들어요.
2024-09-15,습도센서문제,습도 센서가 부정확한 것 같아요. 설정해놓은 습도와 실제 느끼는 습도가 다르고 자꾸 오작동해서 원하는 습도로 맞춰지지 않아서 불편해요.
2024-09-17,물받이구조,물받이 구조가 이상해요. 꺼낼 때 물이 자꾸 흘러서 바닥이 젖어요. 손잡이도 작아서 잡기 어렵고 무거우면 더 위험해서 조심스러워요.
2024-09-19,과건조문제,너무 건조하게 만들어요. 설정을 50%로 해놨는데 실제로는 40% 이하로 떨어져서 목이 아프고 피부가 당겨요. 조절이 잘 안 되는 것 같아요.
2024-09-21,타이머오류,타이머 기능이 제대로 작동하지 않아요. 8시간으로 설정해도 중간에 꺼지거나 계속 돌아가거나 해서 믿을 수가 없어요. 기능에 문제가 있는 것 같아요.
2024-09-23,가격대비아쉬움,가격에 비해서 성능이 아쉬워요. 비슷한 가격대의 다른 브랜드가 더 좋을 것 같은데 LG라는 브랜드만 믿고 샀다가 후회하고 있어요.
2024-09-25,디스플레이밝음,LED 디스플레이가 너무 밝아요. 밤에 침실에서 사용할 때 불빛 때문에 잠자는데 방해가 되어서 가리고 써야 해요. 밝기 조절 기능이 있었으면 좋겠어요.
2024-09-27,진동문제,작동할 때 진동이 있어요. 바닥에 두면 진동이 전달되어서 아래층에 피해를 줄까 봐 걱정되고 밤에는 특히 신경 쓰여서 끄고 자게 되네요.
2024-09-29,AS문제,고장 났는데 AS 받기가 어려워요. 예약도 오래 걸리고 부품도 없다고 하고 수리비도 비싸서 차라리 새로 사는 게 나을 것 같아요. AS가 아쉬워요.
2024-09-04,물새는문제,물받이에서 물이 새어요. 가득 찰 때까지 기다리지 않고 중간에 비우려고 하면 밑에서 물이 뚝뚝 떨어져서 바닥이 젖어요. 설계에 문제가 있는 것 같아요.
2024-09-06,전원문제,가끔씩 전원이 저절로 꺼져요. 전원 버튼을 눌러도 켜지지 않다가 한참 후에 켜지는 경우가 있어서 불안해요. 초기 불량인지 확인해봐야겠어요.
2024-09-08,냄새문제,사용하면서 플라스틱 냄새가 계속 나요. 처음에는 신제품이라 그런가 했는데 한 달이 지나도 냄새가 사라지지 않아서 불쾌해요. 환기해도 냄새가 나요.
2024-09-10,버튼반응,조작 버튼 반응이 둔해요. 한 번 누르면 인식이 안 되는 경우가 많아서 여러 번 눌러야 하고 설정 바꾸기도 어려워요. 터치가 예민하지 않아요.
2024-09-12,에너지효율,1등급이라고 했는데 전력소모가 많은 것 같아요. 하루 종일 켜놓으면 전기료가 상당히 나와서 에너지 효율이 의심스러워요. 표시와 다른 것 같아요.
2024-09-14,설치문제,설치할 때 설명서가 부실해요. 어디에 두어야 하는지 어떻게 설정해야 하는지 자세한 설명이 없어서 인터넷으로 찾아봐야 했어요. 불친절해요.
2024-09-16,부품품질,바퀴 중 하나가 삐걱거려요. 굴릴 때마다 소리가 나서 신경 쓰이고 바닥에 자국도 남는 것 같아서 이동시키기가 조심스러워요. 품질이 아쉬워요.
2024-09-18,습도표시,습도 표시가 정확하지 않은 것 같아요. 별도 습도계와 비교해보니까 5-10% 정도 차이가 나서 믿을 수 없어요. 센서에 문제가 있는 것 같아요.
2024-09-20,물받이무게,물받이가 가득 차면 너무 무거워요. 4리터나 되니까 여자 혼자서는 들기 힘들고 쏟을 위험도 있어서 무서워요. 좀 더 가벼웠으면 좋겠어요.
2024-09-22,리모컨없음,리모컨이 없어서 불편해요. 멀리서 조작할 수 없어서 일일이 가서 버튼을 눌러야 하고 밤에 끄려면 침대에서 일어나야 해서 귀찮아요.
2024-09-24,필터가격,필터 교체 비용이 비싸요. 정품 필터가 3만원이나 해서 6개월마다 교체하기엔 부담스러워요. 호환 필터를 찾아봐야겠어요. 유지비가 많이 들어요.
2024-09-26,소음증가,사용할수록 소음이 커지는 것 같아요. 처음에는 조용했는데 3개월 지나니까 웅웅거리는 소리가 점점 커져서 고장 나는 건 아닌지 걱정돼요.
2024-09-28,디자인투박,디자인이 너무 투박해요. 깔끔하다고 하는데 실제로는 밋밋하고 재미없어서 인테리어에 어울리지 않아요. 좀 더 세련된 디자인이었으면 좋겠어요.
2024-09-01,물받이알림,물받이 가득참 알림이 너무 늦어요. 이미 넘쳐서 바닥이 젖은 다음에 알림이 와서 의미가 없어요. 좀 더 여유 있게 미리 알려줬으면 좋겠어요.
2024-09-03,온도상승,제습기 주변 온도가 올라가요. 여름에 사용하면 방 온도가 더 올라가서 에어컨을 더 세게 틀어야 해서 전기료가 더 많이 나와요. 열이 너무 많이 나요.
2024-09-05,바퀴고정,바퀴 고정 기능이 없어서 불편해요. 위치를 정해놓고 써도 진동 때문에 조금씩 움직여서 자꾸 위치가 바뀌어요. 브레이크 기능이 있었으면 좋겠어요.
2024-09-07,습도설정,습도 설정 단위가 너무 커요. 5% 단위로만 설정할 수 있어서 세밀한 조절이 안 되어요. 1-2% 단위로 조절할 수 있었으면 더 정확하게 맞출 수 있을 텐데요.
2024-09-09,전선길이,전선이 너무 짧아요. 콘센트에서 멀리 떨어진 곳에 두려면 연장선을 써야 해서 불편하고 지저분해 보여요. 전선이 좀 더 길었으면 좋겠어요.
2024-09-11,물받이손잡이,물받이 손잡이가 너무 작아요. 물이 가득 차면 무거운데 손잡이가 작아서 잡기 어렵고 미끄러질까 봐 무서워요. 좀 더 큰 손잡이였으면 좋겠어요.
2024-09-13,배수호스,배수 호스 연결 부분이 자꾸 빠져요. 연결해놓고 사용하면 중간에 빠져서 바닥에 물이 고이는 경우가 있어서 확인해야 하는 번거로움이 있어요.
2024-09-15,운반손잡이,위쪽에 운반용 손잡이가 없어서 들고 다니기 어려워요. 아래쪽 바퀴로만 이동해야 하는데 계단이나 문턱에서는 들어야 하는데 잡을 곳이 없어서 불편해요.
2024-09-17,자동정지오류,자동 정지 기능이 제대로 작동하지 않아요. 설정 습도에 도달해도 계속 돌아가는 경우가 있어서 과건조가 되거나 전력낭비가 생겨요. 기능 점검이 필요해요.
2024-09-19,청소어려움,내부 청소가 어려워요. 먼지나 이물질이 들어가면 분해하기 어려워서 청소하기 힘들어요. 좀 더 분해가 쉬운 구조였으면 유지관리가 편할 텐데요.
2024-09-21,습도편차,방 크기에 비해 효과가 부족해요. 20평대 거실에서 사용하는데 구석까지 습도가 고르게 떨어지지 않아서 제습기 근처만 효과가 있어요. 용량이 부족한 것 같아요.
2024-09-23,표시등밝기,상태 표시등이 너무 밝아서 밤에 거슬려요. 꺼지는 기능도 없어서 테이프로 가려야 해요. LED 밝기를 조절할 수 있는 기능이 있었으면 좋겠어요.
2024-09-25,물받이재질,물받이 재질이 너무 얇아요. 물이 많이 차면 휘어져서 불안하고 오래 사용하면 금이 갈까 봐 걱정돼요. 좀 더 두꺼운 재질이었으면 안전할 텐데요.
2024-09-27,설정초기화,정전이 되면 설정이 초기화되어요. 다시 전원이 들어와도 이전 설정을 기억하지 못해서 매번 다시 설정해야 하는 번거로움이 있어요. 메모리 기능이 필요해요.
2024-09-02,컴프레서소음,컴프레서에서 나는 소리가 신경 쓰여요. 냉장고 같은 웅웅거리는 소리가 계속 나서 조용한 환경에서는 거슬려요. 소음 차단이 부족한 것 같아요.
2024-09-04,물받이위치,물받이 위치가 너무 낮아서 빼기 어려워요. 허리를 많이 숙여야 하고 물이 찰 때까지 기다렸다가 빼려면 더 힘들어요. 높이를 조절할 수 있었으면 좋겠어요.
2024-09-06,습도반응속도,습도 변화 반응이 너무 느려요. 습도가 올라가도 한참 후에 작동하고 목표 습도에 도달해도 늦게 멈춰서 효율이 떨어져요. 센서 반응이 빨랐으면 좋겠어요.
